subject,method,sparsity_deg,lsd_L_db,lsd_R_db,itd_MAE_ms,ild_MAE_db,png
NH143__hrtf_M_hrtf_B__elev0,NN,30,5.978620787605634,5.899708138697046,0.07010519645810753,1.571634785910085,results/interp/NH143__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH143__hrtf_M_hrtf_B__elev0,RBF,30,4.965359463384348,4.788310277895654,0.01195889490054835,1.1273940658495287,results/interp/NH143__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH143__hrtf_M_hrtf_B__elev0,NN,15,5.688339704094498,5.475649125078978,0.040950918627814165,1.3097083714608648,results/interp/NH143__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH143__hrtf_M_hrtf_B__elev0,RBF,15,4.630721019435107,4.5060076998513905,0.012156988856705091,1.0550887857694249,results/interp/NH143__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH143__hrtf_M_hrtf_B__elev0,NN,10,5.719169759602715,5.4601072629103475,0.031033244766909013,1.3343761079852627,results/interp/NH143__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH143__hrtf_M_hrtf_B__elev0,RBF,10,4.5859697645477455,4.393785753004784,0.012580175061068151,0.9653012607082381,results/interp/NH143__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,NN,30,5.3618313274619425,5.228795304155698,0.07288985673001647,1.2741270511308027,results/interp/NH159__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,RBF,30,4.480873503005317,4.349320516773783,0.01636292375367672,1.0411935957136318,results/interp/NH159__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,NN,15,4.86099870100295,4.793878710848454,0.04001839694212235,1.0810706078009462,results/interp/NH159__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,RBF,15,4.033962218452118,3.9900926598111726,0.013584260768553248,0.8304370811261043,results/interp/NH159__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,NN,10,4.797789280487439,4.785136714776402,0.033827997449846874,0.985670680839227,results/interp/NH159__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH159__hrtf_M_hrtf_B__elev0,RBF,10,3.789110137085094,3.9081853383966934,0.013613845165540742,0.7358786114673356,results/interp/NH159__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,NN,30,5.8282441729851655,6.08373985612436,0.1152200147871783,2.0130401233514315,results/interp/NH168__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,RBF,30,4.873264258505032,4.934381576164182,0.07445891026294148,1.6702816589429101,results/interp/NH168__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,NN,15,5.50232564708728,5.675160118583478,0.08829297089708105,1.7808301622804172,results/interp/NH168__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,RBF,15,4.481453967463306,4.4187855441468225,0.06317159491976676,1.3380200080425668,results/interp/NH168__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,NN,10,5.543397932979761,5.360747243827423,0.08004106776510585,1.6099174628775965,results/interp/NH168__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH168__hrtf_M_hrtf_B__elev0,RBF,10,4.371001358524437,4.277329950801987,0.06383500540708595,1.353765713272172,results/interp/NH168__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,NN,30,5.7929001289289195,6.110185485719595,0.10151932015623741,1.8868359920900215,results/interp/NH174__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,RBF,30,4.814285610817962,4.900505227491841,0.06340445348589571,1.3681220458967696,results/interp/NH174__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,NN,15,5.410458395814664,5.695077408482384,0.08557663619784373,1.4266051116386858,results/interp/NH174__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,RBF,15,4.388702511790498,4.41646843238285,0.05098532713868688,1.1104160300289718,results/interp/NH174__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,NN,10,5.320066366140919,5.476907441382026,0.058875206607179,1.3208521463680942,results/interp/NH174__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH174__hrtf_M_hrtf_B__elev0,RBF,10,4.231559273181568,4.253297948002794,0.04560600869825789,1.0381321200938385,results/interp/NH174__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,NN,30,5.512127208412555,5.755777790259393,0.06715637149911437,1.4063340171768293,results/interp/NH43__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,RBF,30,4.56543661467008,4.593274389940295,0.010056590223261367,1.0473688874518263,results/interp/NH43__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,NN,15,5.213455829724436,5.351744519568863,0.03856823962691817,1.224628071603473,results/interp/NH43__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,RBF,15,4.3964934297651554,4.310928635716549,0.00873737835604177,0.9288998290241125,results/interp/NH43__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,NN,10,5.155146768497641,5.2709107590076245,0.029175457939925185,1.0956916117195852,results/interp/NH43__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH43__hrtf_M_hrtf_B__elev0,RBF,10,4.2160072495869585,4.20085104255615,0.009198415021527498,0.8382446323858885,results/interp/NH43__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,NN,30,5.659840475212654,6.215434382104196,0.08001592206502599,1.6428998369969707,results/interp/NH53__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,RBF,30,4.678785626232354,4.825786750090242,0.03277682411308668,1.2667239553088616,results/interp/NH53__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,NN,15,5.3319933215795166,5.703349783294318,0.052199568056191005,1.332307437544967,results/interp/NH53__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,RBF,15,4.279673621463602,4.475133067188642,0.02836129996956547,1.0563498537408875,results/interp/NH53__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,NN,10,5.079221883234643,5.567167264988382,0.044042929114037,1.2412738223827513,results/interp/NH53__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH53__hrtf_M_hrtf_B__elev0,RBF,10,4.006046872707824,4.343460000494439,0.02730814027233015,0.9699835806560486,results/interp/NH53__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,NN,30,5.472900796759444,5.911008277505588,0.07312864674443081,1.3926755713724988,results/interp/NH54__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,RBF,30,4.333071108948611,4.527751560133957,0.015991525020296132,0.9241747686222733,results/interp/NH54__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,NN,15,5.060197513671352,5.48827294839309,0.04250743756780312,1.2666073672007103,results/interp/NH54__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,RBF,15,3.8805823872597047,4.1429166095806504,0.011095083919194752,0.8951535810698764,results/interp/NH54__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,NN,10,4.726408828645135,5.093773579221451,0.03443458588834811,1.0962983867843366,results/interp/NH54__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH54__hrtf_M_hrtf_B__elev0,RBF,10,3.695119783280785,3.9363605976263916,0.011009656996695543,0.7895209161911156,results/interp/NH54__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,NN,30,5.872386667902844,5.751404742982726,0.09311957295373582,1.6309214687639564,results/interp/NH57__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,RBF,30,4.755430134561338,4.607304489142169,0.02956903676372128,1.2283505671692674,results/interp/NH57__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,NN,15,5.566008188174633,5.450249231539253,0.06888152991998053,1.3577329257431066,results/interp/NH57__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,RBF,15,4.4226236147359055,4.247789220078054,0.028126746415177224,0.9423402748401175,results/interp/NH57__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,NN,10,5.3913539374503285,5.137640960042844,0.04409376348133434,1.200146195801683,results/interp/NH57__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH57__hrtf_M_hrtf_B__elev0,RBF,10,4.241812226423981,4.096410037054305,0.0289147055199538,0.9025597405064347,results/interp/NH57__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,NN,30,5.711641994744993,5.8252375214776,0.07321052905465594,1.333611399490641,results/interp/NH60__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,RBF,30,4.700193587138912,4.578315161437785,0.013911287950680758,1.0758505125603286,results/interp/NH60__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,NN,15,5.2635514012505915,5.359037138950198,0.04119872523006052,1.06179228392466,results/interp/NH60__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,RBF,15,4.266842905313033,4.227085118391289,0.011597482218723087,0.905528354762657,results/interp/NH60__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,NN,10,5.1980121245998205,5.336144850975468,0.03365876698984181,0.9925292840607354,results/interp/NH60__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH60__hrtf_M_hrtf_B__elev0,RBF,10,4.1682519803909654,4.131716362946905,0.012104913486748256,0.8621569215228658,results/interp/NH60__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,NN,30,6.086489342711367,5.846123984300829,0.08436976288183115,1.57287813990572,results/interp/NH90__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,RBF,30,5.016032721821527,4.728125307757214,0.03305802445637035,1.2393435258179053,results/interp/NH90__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,NN,15,5.73384753446888,5.4943353054531,0.05809142418715748,1.2298894690829378,results/interp/NH90__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,RBF,15,4.628567143852157,4.368261689027043,0.025902959430782517,0.9791828770365683,results/interp/NH90__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,NN,10,5.540399932896762,5.3408019797040245,0.04964502196078403,1.2101106801401569,results/interp/NH90__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH90__hrtf_M_hrtf_B__elev0,RBF,10,4.4069454608884016,4.190105340042018,0.02206202667974832,0.966548638537963,results/interp/NH90__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,NN,30,5.847296568734012,5.852813500303616,0.09839268972580674,1.6989727988920813,results/interp/NH94__hrtf_M_hrtf_B__elev0__NN__30deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,RBF,30,4.805526169897879,4.793480409039382,0.0536616545267477,1.3427677056202245,results/interp/NH94__hrtf_M_hrtf_B__elev0__RBF__30deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,NN,15,5.369987914877721,5.314697793041328,0.09220136987666289,1.4078332579616226,results/interp/NH94__hrtf_M_hrtf_B__elev0__NN__15deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,RBF,15,4.362589022042362,4.343547091193694,0.05862947684235309,1.1606645591154248,results/interp/NH94__hrtf_M_hrtf_B__elev0__RBF__15deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,NN,10,5.2056063596967475,5.066017720161122,0.06765581202785392,1.3759608410514874,results/interp/NH94__hrtf_M_hrtf_B__elev0__NN__10deg_metrics.png
NH94__hrtf_M_hrtf_B__elev0,RBF,10,4.129212075891135,4.176042987683666,0.054913482836452615,1.129855627526518,results/interp/NH94__hrtf_M_hrtf_B__elev0__RBF__10deg_metrics.png
